st,stateabbrv,statename,id,year,le_agg_q1_F,le_agg_q2_F,le_agg_q3_F,le_agg_q4_F,le_agg_q1_M,le_agg_q2_M,le_agg_q3_M,le_agg_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
24,MD,Maryland,24,2007,82.05519,83.46233,85.15812,88.97858,75.23186,78.94291,82.36563,86.08585,164641,208716,231422,320203,151914,177894,206278,305715
24,MD,Maryland,24,2008,81.17716,84.1895,86.2714,88.811,75.05831,80.70046,83.1806,85.59099,165073,211081,234438,321702,153330,179234,207853,306030
24,MD,Maryland,24,2009,80.61041,83.25289,86.16569,88.67173,75.34728,79.99566,80.84064,86.05301,164953,213250,238296,328444,154586,180321,210772,310247
24,MD,Maryland,24,2010,80.16469,85.51242,85.94191,88.13837,76.49657,80.19021,82.05516,85.20155,165708,211185,238370,332239,155272,179134,208228,312267
24,MD,Maryland,24,2011,82.45099,83.84318,86.79779,89.75745,76.77475,78.94461,81.82596,86.03873,161331,205477,237368,341779,151611,174589,205334,319434
24,MD,Maryland,24,2012,80.25846,83.24777,86.39454,89.46138,75.43233,80.19656,82.72504,86.84786,162851,204361,236654,340638,152948,174134,203832,317913
24,MD,Maryland,24,2013,82.97162,84.27551,86.13373,88.44051,75.40824,79.12408,82.17951,85.41213,163756,204924,238151,333045,155879,176481,205009,309855
24,MD,Maryland,24,2014,83.19604,85.58241,86.74208,89.71552,75.67949,79.26173,83.34938,87.0452,161691,198556,233038,317914,154051,172849,199482,294372
25,MA,Massachusetts,25,2001,81.71797,83.71697,84.4007,86.79308,77.17225,78.70345,82.24223,85.00667,161496,212729,248662,324496,154224,197904,236712,315141
25,MA,Massachusetts,25,2002,82.35191,83.72868,84.10843,86.78487,76.9707,78.66888,81.05698,84.58775,163871,216245,251902,336752,155511,200747,241554,328903
25,MA,Massachusetts,25,2003,82.21089,83.42119,83.91752,85.50857,77.58106,80.78537,82.75842,85.72157,166178,218934,255736,347789,157388,203510,245175,340094
25,MA,Massachusetts,25,2004,83.9156,84.27679,85.52843,88.2142,77.04758,80.07919,83.21393,84.80727,169006,221549,261675,349751,160667,206738,249856,340857
25,MA,Massachusetts,25,2005,83.74762,82.93244,86.91467,87.90205,77.92675,80.63784,82.22077,86.37169,173358,222891,263038,350919,164480,208619,251139,340144
25,MA,Massachusetts,25,2006,82.83947,85.42223,86.24086,87.79804,76.78458,80.09369,82.96526,85.57178,177348,224419,266089,354144,168138,211042,253373,342462
25,MA,Massachusetts,25,2007,82.90022,86.80788,85.90717,88.15059,78.625,80.66282,83.85909,86.04055,177446,224302,266488,354945,170089,210231,253176,342265
25,MA,Massachusetts,25,2008,84.18123,86.53619,87.81097,86.99045,77.87047,80.82779,83.08697,87.28642,178609,225938,268730,359465,172434,211427,253960,344944
25,MA,Massachusetts,25,2009,83.35389,83.737,87.71655,89.41796,78.02085,82.01679,84.82803,85.9535,180837,227034,272833,370040,174967,212620,256837,353807
25,MA,Massachusetts,25,2010,84.9192,84.32034,86.67064,89.13403,77.56015,82.08726,84.03167,87.71898,179078,225759,271079,373600,174020,211204,254143,357456
25,MA,Massachusetts,25,2011,84.44183,87.44588,86.28899,89.03989,79.12523,81.6543,83.60509,87.34907,178424,223326,271354,373294,171538,210678,253101,355946
25,MA,Massachusetts,25,2012,84.26868,87.05582,88.42658,90.15891,78.27863,81.09353,84.73999,86.73064,179146,222954,268259,374831,171385,209885,250388,357506
25,MA,Massachusetts,25,2013,85.75056,86.26961,88.3723,89.40844,78.74504,81.35564,84.26686,87.82922,180741,219463,265430,372984,174078,206996,246724,355507
25,MA,Massachusetts,25,2014,85.23209,87.92265,87.2782,89.77615,79.76772,82.55639,85.63282,85.95616,179149,210427,254902,360341,170775,199772,235659,343843
26,MI,Michigan,26,2001,79.2346,83.17873,84.05222,85.67133,73.86698,78.59326,81.1701,83.66814,290411,337829,394002,435692,253278,315301,403797,432661
26,MI,Michigan,26,2002,80.3245,82.94847,84.21858,85.77538,73.42941,78.88489,82.1374,83.493,301496,352742,403533,429530,262330,330529,411156,427048
26,MI,Michigan,26,2003,80.33684,83.72885,85.02917,86.47304,73.20789,79.52972,81.60294,84.82925,311452,365472,415587,415446,274141,344048,419702,408855
26,MI,Michigan,26,2004,80.37886,84.70612,85.57922,86.23215,74.16042,79.50674,83.55902,84.86315,317388,372531,420408,416677,280382,348053,423589,409432
26,MI,Michigan,26,2005,81.02199,84.28088,85.62688,86.34518,73.22198,79.23943,83.63518,84.29606,323381,374319,421921,419529,283494,348901,422753,412811
26,MI,Michigan,26,2006,81.25489,83.00859,87.2686,88.06785,73.9431,80.53686,82.918,86.08608,333004,380041,428200,405817,295507,354707,425958,398054
26,MI,Michigan,26,2007,81.51753,82.93554,86.22107,87.66069,74.56353,80.39313,83.39131,84.80438,340604,383180,431253,389828,301249,359335,427431,380675
26,MI,Michigan,26,2008,80.75789,84.61913,87.15659,89.37377,74.65704,80.37016,84.14231,85.17371,351409,386587,431736,376902,312703,362073,425023,365012
26,MI,Michigan,26,2009,79.35579,85.28758,87.39721,87.09429,73.83611,80.29707,82.79926,86.42344,363779,393199,434403,374726,324230,367765,423107,362607
26,MI,Michigan,26,2010,81.22774,85.74324,87.87637,89.2776,74.89961,81.66032,82.89561,87.13293,368354,391938,429890,360333,327995,369012,415281,346408
26,MI,Michigan,26,2011,80.72536,86.1847,88.52885,89.57309,74.74724,80.73138,85.05582,87.29165,375629,392104,425189,341792,339307,369221,404614,325330
26,MI,Michigan,26,2012,80.3933,85.19936,87.73363,89.70571,75.17027,81.19267,84.98021,87.04733,375516,384631,422682,343962,339661,362114,404554,328291
26,MI,Michigan,26,2013,80.62941,86.07395,88.80999,90.28902,73.90872,81.78015,86.125,86.34879,378627,377385,409921,346652,341262,357455,393712,331515
26,MI,Michigan,26,2014,80.41867,86.37983,87.88948,89.97458,74.73485,80.189,85.20373,87.12647,360156,356903,395558,349929,325646,342377,379303,327888
27,MN,Minnesota,27,2001,80.65961,84.05296,84.64133,88.2886,76.07994,79.90794,83.98978,84.62492,114237,175280,220496,217738,117147,178084,219538,210830
27,MN,Minnesota,27,2002,83.18783,84.09364,86.39417,88.39737,77.21062,81.14866,81.98009,85.67511,118815,181034,226575,222083,121350,183279,225374,215294
27,MN,Minnesota,27,2003,83.18541,83.44221,86.64357,87.40286,77.14368,81.05345,83.59673,86.31998,122533,185521,230204,226172,124753,187376,228734,219363
27,MN,Minnesota,27,2004,82.30387,84.63467,85.82517,85.58426,76.33126,82.16464,84.6478,86.57196,124869,187453,234417,230317,127606,188848,232836,222718
27,MN,Minnesota,27,2005,83.77007,86.01222,86.58302,88.83778,77.90764,81.17132,84.43454,87.53679,127357,190525,238177,232642,129863,191820,235519,224996
27,MN,Minnesota,27,2006,82.21871,85.24099,88.28779,87.64857,78.16502,80.53706,85.46693,86.60129,129192,191341,240925,235268,132239,192670,238020,226936
27,MN,Minnesota,27,2007,84.44508,85.32486,88.83233,88.65568,76.62875,83.17274,85.12717,86.61844,130878,193475,244389,234294,135432,194267,240227,225800
27,MN,Minnesota,27,2008,82.85979,87.40477,87.86217,87.49986,77.56898,81.688,85.2133,86.63152,133297,195391,247959,235002,138529,196492,242268,225862
27,MN,Minnesota,27,2009,81.52317,84.26864,86.69648,88.67549,76.81095,81.17001,86.75973,88.19302,135329,196105,252872,241280,141759,197774,246429,231344
27,MN,Minnesota,27,2010,82.14833,86.8899,88.61253,89.00671,77.92252,83.2713,84.82193,86.61438,134829,194778,251594,243096,140611,197236,244961,232821
27,MN,Minnesota,27,2011,83.64947,86.55819,89.43954,89.10072,76.52921,82.5115,85.09583,87.83922,134983,192790,251101,242789,141203,195235,242886,231755
27,MN,Minnesota,27,2012,83.01216,86.75068,88.14508,88.65402,76.25896,80.69321,86.39736,87.64391,133953,189628,249609,246492,138658,193017,242524,235599
27,MN,Minnesota,27,2013,82.71605,87.2808,88.48817,90.42146,76.11713,82.51359,87.72121,84.91967,132962,187081,246845,248021,139069,191734,240183,235996
27,MN,Minnesota,27,2014,82.27242,86.63766,89.03419,88.90106,77.61713,82.77174,86.43622,87.6095,132420,177278,234489,254466,138048,185073,230046,236763
28,MS,Mississippi,28,2001,80.97562,83.76964,85.99135,85.26493,74.51204,80.39417,81.70631,85.3625,132239,95598,81162,55130,114426,99542,78898,51193
28,MS,Mississippi,28,2002,82.52004,84.17641,86.56722,87.19817,75.61842,80.44688,82.4136,84.41603,139357,96916,81920,53646,119498,100286,79474,49800
28,MS,Mississippi,28,2003,82.01932,85.5667,87.3663,86.88835,73.21707,76.74975,81.96816,81.95508,142195,97527,81849,54929,120531,100808,80022,50833
28,MS,Mississippi,28,2004,81.9717,84.14835,86.78847,89.49449,73.89755,79.35954,82.86014,83.57272,143773,99684,82945,56338,121061,102138,80967,52452
28,MS,Mississippi,28,2005,81.98871,82.50319,85.93645,86.87907,75.10615,80.67821,82.12911,83.88147,143588,101149,83726,58241,120148,102738,81836,54631
28,MS,Mississippi,28,2006,81.88244,83.99487,87.58025,87.34439,74.49139,79.51287,84.33234,85.77035,145441,102566,84173,57841,121324,104455,81755,54435
28,MS,Mississippi,28,2007,83.03682,83.61153,84.62233,88.3828,76.65929,78.40128,84.07861,89.04024,148272,102364,84270,58700,123343,103489,82014,55504
28,MS,Mississippi,28,2008,83.46985,83.73818,86.42172,85.01853,76.51707,80.57968,83.31557,85.83332,150630,102450,83749,59420,124181,103827,82257,56027
28,MS,Mississippi,28,2009,81.00134,83.39716,87.99851,85.41745,75.53374,81.03795,84.61862,86.17915,153345,106148,86651,61126,126280,106956,84811,57949
28,MS,Mississippi,28,2010,81.66697,84.58003,82.44839,88.18293,74.3642,82.19441,83.68253,83.39056,151271,106260,86712,61892,124194,105735,84918,58913
28,MS,Mississippi,28,2011,82.08913,85.36681,87.11669,84.98961,76.11415,81.01423,82.92203,85.3728,148880,107074,86663,62320,121651,104753,85298,58947
28,MS,Mississippi,28,2012,81.31606,84.95411,86.32887,87.28786,76.6691,79.62001,82.01669,84.11146,149386,107100,87132,62237,122745,104708,85668,58864
28,MS,Mississippi,28,2013,80.98515,85.00164,86.83801,90.21134,74.55247,78.57468,82.44994,85.97498,150376,108105,86011,60804,126364,106184,84553,57120
28,MS,Mississippi,28,2014,80.42979,85.41981,88.00993,89.73013,75.24241,78.75043,81.86509,84.78218,142033,106871,82580,57850,118306,102645,81066,53869
29,MO,Missouri,29,2001,81.52389,83.1629,84.14004,85.4315,74.22828,79.75374,82.5275,83.93899,198249,219291,215424,179430,182120,208728,208366,170092
29,MO,Missouri,29,2002,81.63541,84.64274,84.83282,86.62151,74.75861,79.96987,81.26044,81.26939,206415,226585,219288,179305,189593,214925,212262,170432
29,MO,Missouri,29,2003,81.28865,85.26397,86.97134,87.90519,74.7081,80.41889,81.74447,84.27697,209612,230466,223002,182020,193272,216895,216349,172771
29,MO,Missouri,29,2004,81.1628,83.92947,84.63918,88.04256,75.40759,79.06,83.03895,84.17825,213139,232133,226838,185016,196130,218149,219735,175511
29,MO,Missouri,29,2005,81.95807,85.30266,87.23,86.16358,75.2468,81.1563,83.38584,83.90164,215144,234526,229851,185718,197371,220162,222134,176557
29,MO,Missouri,29,2006,81.59626,84.94121,86.08633,86.01959,75.98581,80.48481,83.71329,84.26762,218730,236706,232023,184949,202884,221927,223368,175731
29,MO,Missouri,29,2007,82.6231,86.58716,87.20035,88.04523,76.18325,82.11525,83.84445,86.20441,220745,238092,233961,184885,204695,223534,225044,174889
29,MO,Missouri,29,2008,81.19947,85.84608,88.19227,88.79591,74.83895,80.09406,83.30484,86.97894,223433,239527,235254,184496,208659,224778,225243,174556
29,MO,Missouri,29,2009,80.84973,82.35196,87.35004,88.56612,74.63618,80.37704,83.74744,87.37047,227870,242883,239258,188906,213278,227625,229400,178453
29,MO,Missouri,29,2010,81.50008,85.89866,88.27553,86.50537,76.02927,80.80415,84.63217,87.24918,224857,241857,238065,188777,210370,226622,228006,177802
29,MO,Missouri,29,2011,80.5425,85.92167,86.92491,87.73119,76.1865,79.82114,83.59244,86.53999,220064,239270,237039,189983,205187,223403,226938,178308
29,MO,Missouri,29,2012,82.43056,84.92411,87.00565,89.69132,75.05206,80.4862,84.78147,85.74998,218954,237098,236647,187481,204457,222994,225624,175239
29,MO,Missouri,29,2013,81.30876,85.02426,86.73503,90.49953,75.93634,80.4473,83.38118,86.75725,219998,235120,234181,183949,209909,221792,222671,171587
29,MO,Missouri,29,2014,80.90508,85.273,88.11292,89.05392,74.87296,79.55337,84.06619,85.02588,212463,226576,225261,184642,206112,214514,212787,168434
30,MT,Montana,30,2001,84.01748,84.64342,81.43674,78.42549,77.7318,79.73568,79.10084,84.89897,40435,39400,35794,20562,39932,41798,34277,18944
30,MT,Montana,30,2002,80.28979,81.60756,89.48845,84.05811,76.98413,83.05327,85.11777,83.63555,41733,40262,36250,20911,40735,42435,34776,19371
30,MT,Montana,30,2003,85.86108,88.75056,82.51499,90.46288,77.73057,83.32346,87.01923,87.35236,42655,40676,36835,20834,41022,42983,35596,19256
30,MT,Montana,30,2004,85.1349,89.7609,88.40366,90.3835,80.13683,82.64061,85.71781,86.7175,43107,40838,37749,21315,41181,43017,36412,19542
30,MT,Montana,30,2005,83.70174,85.86716,86.1578,87.70309,78.70709,83.96857,85.95252,88.48733,43148,41417,38670,22639,40980,43309,37491,20692
30,MT,Montana,30,2006,84.2106,86.36662,86.97325,91.25751,79.48775,85.01624,86.69012,84.90963,43165,41816,39139,23175,41045,43525,37808,21330
30,MT,Montana,30,2007,84.55603,88.14545,89.56834,82.14132,79.22211,83.26866,86.91161,86.97901,42457,41693,39951,25052,40569,42935,38920,23102
30,MT,Montana,30,2008,83.62417,83.29404,89.31854,87.05383,78.42712,84.70178,88.68983,86.28383,42043,41664,40769,26265,40027,43082,39544,24297
30,MT,Montana,30,2009,83.69984,85.85528,86.56515,90.71725,76.46902,82.96994,87.51923,86.67369,41426,42208,42319,27541,39620,43520,41074,25478
30,MT,Montana,30,2010,85.28986,89.56599,85.56282,90.08871,78.20779,84.12422,85.89397,85.83814,40996,41828,41907,27210,38798,42743,40604,25250
30,MT,Montana,30,2011,83.91804,88.51006,88.44829,87.58126,80.86575,86.09658,87.81165,91.13837,40169,41066,41655,27231,38042,41713,40419,24993
30,MT,Montana,30,2012,84.74883,89.04254,87.54427,84.57994,76.94048,84.3605,86.0467,88.83032,38963,40616,41705,27744,37024,41110,40768,25402
30,MT,Montana,30,2013,82.85586,85.48498,82.73246,90.36208,79.16584,85.2519,88.26488,87.50732,38949,40225,41416,28085,38564,40749,40705,25731
30,MT,Montana,30,2014,85.70533,88.21008,85.52365,89.9193,77.61746,84.13917,84.83833,88.1497,38370,38123,38389,28021,37734,38429,38302,25211
31,NE,Nebraska,31,2001,84.20982,86.4796,84.66737,87.04425,76.31059,81.15696,79.32001,85.21548,49325,66654,72342,53886,50324,69653,69673,50381
31,NE,Nebraska,31,2002,83.35411,84.84997,85.28819,85.8061,74.94559,81.73621,81.96996,83.22519,51272,68520,73710,53071,52081,71139,71141,49694
31,NE,Nebraska,31,2003,82.74803,80.11684,87.23249,88.8589,75.67596,80.18909,83.97085,86.6784,52833,69639,75303,52595,53828,72036,72794,49357
31,NE,Nebraska,31,2004,81.59145,83.58411,85.04443,87.67917,76.2335,81.58458,81.6866,85.39474,54022,69955,75796,53457,54542,72065,73722,50246
31,NE,Nebraska,31,2005,83.62625,84.42714,86.62656,89.35395,79.11011,81.02311,80.0668,82.02073,53372,71047,76689,55339,54252,72997,74472,52230
31,NE,Nebraska,31,2006,83.54651,84.47005,86.98524,88.11501,76.65425,81.96846,85.70772,87.42262,53713,71103,77015,56417,54895,73015,74726,53232
31,NE,Nebraska,31,2007,84.23804,85.56609,89.28785,84.69617,76.70427,82.18293,87.01678,86.36691,53794,71525,78043,56011,55001,73422,75699,52753
31,NE,Nebraska,31,2008,84.63153,85.73697,87.22058,90.11277,77.16134,83.45475,83.88984,89.59736,54113,72171,78449,56204,55377,73872,76073,52758
31,NE,Nebraska,31,2009,83.35301,87.70129,88.82781,87.4082,79.11804,79.9047,84.55986,87.03659,53594,71793,81208,58435,54487,74105,78981,54830
31,NE,Nebraska,31,2010,85.1774,87.20068,87.65232,88.70992,76.19772,81.59147,82.82162,81.88479,52993,70871,81404,59931,53220,73608,79901,56155
31,NE,Nebraska,31,2011,83.65349,88.19479,89.66266,90.64349,76.83108,79.55126,84.5846,89.1962,51428,69306,81057,62375,51337,71837,79936,58374
31,NE,Nebraska,31,2012,81.93797,86.59937,89.25457,90.34203,76.14109,82.3019,85.05429,86.84317,50905,67932,81959,63115,50602,71329,80394,59224
31,NE,Nebraska,31,2013,81.24509,85.60541,88.09615,90.4333,78.39702,82.94215,84.62177,88.31145,50650,67527,81020,63922,51612,71224,79705,59572
31,NE,Nebraska,31,2014,81.74059,86.53516,89.98074,90.88087,74.22096,84.28959,84.94822,88.33218,49354,64208,77363,67205,50654,68933,76691,60774
32,NV,Nevada,32,2001,81.40469,81.9426,82.92694,85.10119,75.26152,76.04646,83.8367,82.35454,70784,77782,73308,64624,79357,80186,74224,63128
32,NV,Nevada,32,2002,80.45719,83.67581,82.81303,83.21213,75.91301,77.17302,82.76103,84.66718,76175,83082,77009,66582,84508,84860,77797,64747
32,NV,Nevada,32,2003,78.46071,83.6301,87.18468,82.16589,74.44318,79.44451,78.60038,84.1556,80070,86366,79762,69627,88230,88080,80354,67519
32,NV,Nevada,32,2004,81.23589,79.71973,83.80427,83.38493,76.21253,79.03475,82.1545,83.45428,82969,89326,82545,72125,91463,90606,82724,70310
32,NV,Nevada,32,2005,82.18051,82.3942,85.84457,84.78004,74.79683,79.41012,79.645,86.06131,84286,91786,85454,76710,92478,93959,86082,74917
32,NV,Nevada,32,2006,81.91328,85.27323,84.62689,88.23994,74.53271,79.53336,83.34474,85.64821,85774,93928,87168,81398,94514,96638,88808,79805
32,NV,Nevada,32,2007,82.82323,84.08065,85.95819,89.69015,76.06889,79.44363,82.58695,85.90446,87823,97487,89488,84749,96676,100366,92131,83393
32,NV,Nevada,32,2008,82.01649,85.23944,83.71609,89.59755,76.48573,83.20396,81.85932,84.27635,89381,100235,91780,85596,99033,103031,94860,84641
32,NV,Nevada,32,2009,81.3039,82.25552,86.8148,86.91836,75.24307,78.09727,82.93658,85.5377,89402,103325,94702,87239,99580,104860,98206,86335
32,NV,Nevada,32,2010,82.70685,84.29034,85.65784,87.95858,76.65691,80.53567,83.04514,85.29459,90460,103933,93662,84631,100302,105087,96903,84070
32,NV,Nevada,32,2011,81.02914,83.71857,86.56317,89.36526,75.52013,80.46365,82.41442,86.84103,92346,104069,91845,80513,101986,104918,93749,79018
32,NV,Nevada,32,2012,83.08957,86.00327,84.89661,86.9218,76.50724,80.66376,84.38393,85.92432,93914,106960,91768,76567,105952,105867,92265,74876
32,NV,Nevada,32,2013,81.415,84.34365,85.36407,89.35145,76.1396,78.91579,85.7084,86.79034,95659,109889,91660,74315,107768,108469,91821,72484
32,NV,Nevada,32,2014,83.6898,84.62006,86.27024,89.13776,75.44204,80.43494,85.39532,88.14337,90977,107041,89251,69011,103844,104376,89377,67660
33,NH,New Hampshire,33,2001,79.0128,84.72503,84.37166,86.94624,76.69986,77.89822,80.01665,84.45409,34722,49129,58303,59943,33292,49773,58582,60050
33,NH,New Hampshire,33,2002,80.75587,83.4943,85.31666,85.30191,74.06867,82.00091,83.94064,81.42783,35372,50777,60118,63387,33261,50830,60877,63729
33,NH,New Hampshire,33,2003,86.96777,85.3597,85.06023,84.67012,73.29349,81.42012,81.72713,86.81482,36160,52308,61623,65581,34115,52330,62479,65388
33,NH,New Hampshire,33,2004,84.02641,84.78127,87.97152,84.45502,77.60647,82.38982,81.18692,81.23513,37487,53689,63153,66282,35624,53561,63400,66039
33,NH,New Hampshire,33,2005,82.62503,83.7318,84.83409,87.82977,78.72025,78.6842,84.68224,84.80384,38510,54455,64373,67019,36627,54079,64554,66654
33,NH,New Hampshire,33,2006,81.55715,85.58109,87.1637,89.40303,75.98106,81.48772,84.72156,88.94993,38865,54934,65899,68299,37161,54500,65937,67429
33,NH,New Hampshire,33,2007,82.05556,86.96763,87.07355,87.05286,76.9598,81.71676,83.79962,84.1788,39101,55516,66857,68567,37650,54623,66844,67298
33,NH,New Hampshire,33,2008,83.97812,85.32017,87.99776,88.54433,77.22543,83.76012,83.69358,86.9909,39619,56114,67735,68804,38260,55265,67155,67337
33,NH,New Hampshire,33,2009,80.43258,87.13474,89.50342,87.12663,76.97728,81.58477,82.90956,86.19787,39977,56407,68638,70775,39067,55153,68081,68639
33,NH,New Hampshire,33,2010,79.7365,83.31659,90.28412,91.07309,77.69073,83.39041,85.77544,87.31731,39505,55907,68306,71127,38887,54783,67031,69113
33,NH,New Hampshire,33,2011,82.86183,87.75274,86.80634,90.5837,77.5483,80.26012,82.92643,85.22477,38724,54824,67901,71168,38377,53771,66258,68974
33,NH,New Hampshire,33,2012,81.60241,87.09202,87.69497,88.27214,77.70934,81.71179,85.21149,87.33081,38477,54242,66981,71525,37826,53525,65623,69140
33,NH,New Hampshire,33,2013,86.13345,84.40649,85.33295,88.44421,78.22732,82.93053,83.05125,86.28454,39003,53686,66473,70916,38534,53126,64621,68345
33,NH,New Hampshire,33,2014,80.35577,85.22932,87.51424,91.21387,77.09583,81.77388,85.25732,85.09171,38575,51529,62653,69804,37477,50721,61160,66382
34,NJ,New Jersey,34,2001,82.62148,83.42989,82.38497,86.37311,75.70103,78.39799,81.36061,85.54732,230227,265919,302649,474343,218565,241482,288419,467121
34,NJ,New Jersey,34,2002,82.76421,84.06993,84.2877,85.39201,76.40472,78.05342,82.62516,84.26709,238988,273488,309310,479902,223891,248291,295667,473398
34,NJ,New Jersey,34,2003,82.58678,83.26801,83.16345,86.63488,76.643,80.24339,81.91821,83.92953,243787,278313,315789,492974,230123,253199,300965,486262
34,NJ,New Jersey,34,2004,82.68394,83.93061,83.54217,86.23103,76.65942,79.88696,82.05905,84.17001,247169,282436,321362,504488,232980,258269,305414,495970
34,NJ,New Jersey,34,2005,83.30865,83.68282,84.53761,87.30373,76.04008,79.03304,81.58118,85.42257,249108,285351,325763,510081,234199,260118,309892,501169
34,NJ,New Jersey,34,2006,82.54149,85.45559,84.96848,86.28877,77.87897,80.15096,82.38477,84.37729,252511,288808,331168,514602,238102,263282,314734,505218
34,NJ,New Jersey,34,2007,83.53342,83.74129,85.30825,86.96352,77.87176,80.468,82.87805,86.04504,253467,290933,332535,511932,241169,264938,314906,502066
34,NJ,New Jersey,34,2008,81.50191,85.18948,86.52142,87.31638,77.57793,80.99859,82.52805,86.39025,255875,293097,335847,517347,243762,265854,316750,506905
34,NJ,New Jersey,34,2009,82.71792,85.48396,86.02605,86.78343,77.87027,79.93547,82.78512,86.10051,257070,295165,341310,526944,245646,267948,319828,514895
34,NJ,New Jersey,34,2010,83.53055,83.84007,86.95851,87.98586,78.06058,80.26887,82.67624,85.61665,258497,296311,340651,527415,247180,268882,317121,514750
34,NJ,New Jersey,34,2011,83.22166,85.24588,86.67904,87.39352,78.07226,80.57397,82.88152,84.67213,257054,295265,341206,525935,243270,271091,315959,511703
34,NJ,New Jersey,34,2012,83.90423,85.49298,85.75561,89.76396,77.07776,80.96213,83.71596,86.25885,259270,301319,339398,523904,245442,274976,313408,510153
34,NJ,New Jersey,34,2013,84.19092,85.63042,87.27232,89.88619,78.26248,80.36214,84.51206,86.1522,262600,294812,337530,516455,250377,269582,309505,502268
34,NJ,New Jersey,34,2014,84.20223,85.67653,87.33729,88.73157,79.45881,81.1302,83.36391,87.55988,259790,280950,325520,492397,246986,257236,296716,481435
35,NM,New Mexico,35,2001,86.74791,84.8077,86.9424,87.41917,79.15649,81.82955,86.64992,84.22051,81730,68743,56158,45767,77848,63948,53941,42689
35,NM,New Mexico,35,2002,83.00196,84.55331,83.66761,83.19576,80.60224,82.00291,83.35461,84.2936,85040,70050,57155,45849,79503,65236,54829,42969
35,NM,New Mexico,35,2003,82.3658,81.56419,87.61801,89.19707,78.26853,81.12746,85.43262,87.19138,86668,71969,59587,48311,79982,66743,57508,45560
35,NM,New Mexico,35,2004,83.22086,85.53407,84.1163,87.07652,78.17347,81.71439,81.77618,86.07764,94954,73592,60604,49972,89269,68127,57762,47113
35,NM,New Mexico,35,2005,82.04482,86.08693,87.10065,86.59125,80.45562,81.73086,84.12705,82.423,87752,74539,61196,51053,80141,68534,58392,47879
35,NM,New Mexico,35,2006,85.18443,85.51865,85.82004,90.68908,79.7793,84.15186,84.54404,86.16794,89104,75177,62652,51912,81869,68991,59632,48604
35,NM,New Mexico,35,2007,83.87887,85.56865,87.22064,89.08375,79.74825,81.63381,85.30539,88.13447,89655,76425,63726,53812,81621,70025,61040,50053
35,NM,New Mexico,35,2008,84.41821,86.3241,86.46174,90.56064,80.12769,83.80457,86.7478,86.54599,90022,76950,64997,54904,81683,70672,62310,51009
35,NM,New Mexico,35,2009,85.10487,87.98273,89.3014,90.00243,76.77242,82.2094,83.04375,88.27895,91956,78743,67041,56041,83931,72000,64113,51973
35,NM,New Mexico,35,2010,84.06166,88.79732,89.353,89.3811,79.67831,82.74217,84.49074,89.00899,90184,78821,66558,55952,81663,71528,64333,52096
35,NM,New Mexico,35,2011,85.37165,87.56454,87.15897,91.71201,79.24156,82.14937,86.5836,85.29053,87268,78444,65994,56305,78586,70670,63475,51890
35,NM,New Mexico,35,2012,85.63828,87.98986,87.78929,86.70936,79.07484,82.03227,84.09135,87.43774,86136,78553,65391,55120,77758,70289,63005,50709
35,NM,New Mexico,35,2013,85.44461,85.32167,89.8008,88.85877,79.31799,82.62856,86.76506,87.22619,85547,78026,64594,53487,79177,69439,62391,49009
35,NM,New Mexico,35,2014,83.30796,87.92402,84.72385,90.42536,80.2108,82.79803,86.7112,85.52664,82337,75982,61090,50132,76465,66926,59424,45579
36,NY,New York,36,2001,81.89928,84.02923,84.48079,87.59762,77.42339,80.50674,83.22318,86.56029,634112,628270,550292,555141,551157,570271,548934,568900
36,NY,New York,36,2002,83.4521,83.82019,85.03108,85.57558,77.16632,79.2626,81.92592,84.52262,685491,657235,609526,688816,644882,600006,583406,668587
36,NY,New York,36,2003,82.79404,83.51263,84.93687,86.18121,77.28638,79.63787,82.36577,84.39703,693147,669788,634343,727526,660851,610558,599285,699092
36,NY,New York,36,2004,83.07182,83.58953,85.03768,87.4444,77.08818,79.79482,82.08529,84.5293,700469,675899,642836,743520,666923,616044,609066,713361
36,NY,New York,36,2005,83.54256,84.02935,84.73909,86.82895,78.01389,80.50811,82.48603,85.30153,702312,684256,648592,747435,669675,618677,614741,718286
36,NY,New York,36,2006,83.91663,84.59504,84.74651,87.16724,77.95773,81.11297,82.27039,86.12905,709168,691663,659973,747043,681456,627808,623784,716345
36,NY,New York,36,2007,84.13793,84.8035,85.5682,87.99646,78.11297,81.00155,83.6678,86.20612,713815,694473,660814,739384,692430,628623,622933,710521
36,NY,New York,36,2008,84.12637,85.38503,85.8179,87.12627,78.07534,80.5945,83.27216,86.98088,723809,704200,664484,750289,703174,631350,627373,721386
36,NY,New York,36,2009,83.70728,86.08726,87.02369,88.39224,78.25306,80.78582,83.67342,85.56113,734739,720576,678470,766329,711050,648402,639927,735890
36,NY,New York,36,2010,84.33922,85.3355,87.43037,88.51794,78.78485,82.05524,84.50475,87.23087,727764,707160,678208,775696,703792,637643,637551,745193
36,NY,New York,36,2011,84.51919,85.81488,86.74363,88.6981,79.66084,81.66563,84.20197,87.02946,720712,701765,681103,780206,692407,633234,638228,748114
36,NY,New York,36,2012,83.93016,86.3535,86.75581,88.88622,79.18534,81.17626,83.45329,86.64586,728754,708004,678539,780226,701485,635567,633473,747743
